Store_id,Store_name,City_id,Retailer_name,Retailer_category,Retailer_class,Pin_code,Schemes
STR-1,Managestore,CT-19,OurTown,Chemist,Platinum,500002,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-2,Store Supermarket,CT-17,Nexus,Chemist,Platinum,500003,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-3,Champion store,CT-25,AllStar,Chemist,Platinum,500004,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-4,Century store,CT-19,BlueFire,Chemist,Platinum,500005,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-5,Beam store,CT-4,Saffron,Chemist,Platinum,500006,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-6,Storewen,CT-2,AllAround,Chemist,Platinum,500007,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-7,Office store,CT-10,Fireside,Chemist,Platinum,500002,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-8,Store Basket,CT-25,OurTown,Chemist,Platinum,500003,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-9,Store Productions,CT-20,Nexus,Cosmetic,Platinum,500004,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-10,Ashstore,CT-2,AllStar,Cosmetic,Gold,500005,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-11,Storebeam,CT-14,BlueFire,Cosmetic,Gold,500006,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-12,Discounts store,CT-4,Saffron,Cosmetic,Gold,500007,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-13,Plan store,CT-8,AllAround,Cosmetic,Gold,500002,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-14,Store Quipo,CT-11,Fireside,Cosmetic,Gold,500003,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
STR-15,Software store,CT-24,OurTown,Supermarket,Gold,500004,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
STR-16,Sound store,CT-22,Nexus,Supermarket,Gold,500005,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
STR-17,Store Plan,CT-23,AllStar,Supermarket,Gold,500006,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
STR-18,Yowstore,CT-2,BlueFire,Supermarket,Gold,500007,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
STR-19,Glut store,CT-18,Saffron,Supermarket,Gold,500002,"SCH/21-Masque30Off, SCH/24-Serum30Off"
STR-20,Store Vamp,CT-2,AllAround,Supermarket,Silver,500003,"SCH/21-Masque30Off, SCH/24-Serum30Off"
STR-21,Store Successful,CT-8,Fireside,Supermarket,Silver,500004,"SCH/21-Masque30Off, SCH/24-Serum30Off"
STR-22,Storepya,CT-7,OurTown,General Store,Silver,500005,"SCH/21-Masque30Off, SCH/24-Serum30Off"
STR-23,Store Theme,CT-6,Nexus,General Store,Silver,500006,"SCH/21-Masque30Off, SCH/24-Serum30Off"
STR-24,Storeclean,CT-12,AllStar,General Store,Silver,500007,"SCH/24-Serum30Off,SCH/10-DayCream20Off"
STR-25,Gecko store,CT-20,BlueFire,General Store,Silver,500002,"SCH/24-Serum30Off,SCH/10-DayCream20Off"
STR-26,Cheap store,CT-18,Saffron,General Store,Silver,500003,"SCH/24-Serum30Off,SCH/10-DayCream20Off"
STR-27,Safe store,CT-19,AllAround,General Store,Silver,500004,"SCH/24-Serum30Off,SCH/10-DayCream20Off"
STR-28,Store Final,CT-24,Fireside,General Store,Silver,500005,"SCH/24-Serum30Off,SCH/10-DayCream20Off"
STR-29,Store Forum,CT-20,OurTown,Wholesale,Silver,500006,"SCH/16-Sunscreen40Off, SCH/10-Aqua4Essense10Off"
STR-30,Miss store,CT-10,Nexus,Wholesale,Bronze,500007,"SCH/16-Sunscreen40Off, SCH/10-Aqua4Essense10Off"
STR-31,Titan store,CT-7,AllStar,Wholesale,Bronze,500002,"SCH/16-Sunscreen40Off, SCH/10-Aqua4Essense10Off"
STR-32,Store Amazing,CT-24,BlueFire,Wholesale,Bronze,500003,"SCH/16-Sunscreen40Off, SCH/10-Aqua4Essense10Off"
STR-33,Storeed,CT-16,Saffron,Wholesale,Bronze,500004,"SCH/16-Sunscreen40Off, SCH/10-Aqua4Essense10Off"
STR-34,Store Ice,CT-25,AllAround,Wholesale,Bronze,500005,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
STR-35,Store Locker,CT-8,Fireside,Wholesale,Bronze,500006,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
STR-36,Sept store,CT-9,OurTown,Wholesale,Bronze,500007,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
STR-37,Storekiss,CT-6,Nexus,Wholesale,Bronze,500002,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
STR-38,Jaguar store,CT-22,AllStar,E-commerce,Bronze,500003,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
STR-39,Storecox,CT-11,BlueFire,E-commerce,Bronze,500004,SCH/10-Aqua4Essense10Off
STR-40,Storearts,CT-6,Saffron,E-commerce,Bronze,500005,SCH/10-Aqua4Essense10Off
STR-41,Storecitrus,CT-25,AllAround,E-commerce,Others,500006,SCH/10-Aqua4Essense10Off
STR-42,Store Atto,CT-8,Fireside,E-commerce,Others,500007,SCH/10-Aqua4Essense10Off
STR-43,Store Lean,CT-13,OurTown,E-commerce,Others,500002,SCH/10-Aqua4Essense10Off
STR-44,Storedog,CT-13,Nexus,E-commerce,Others,500003,"SCH/12-RevitaLift20Off, SCH/10-Aqua4Essense10Off"
STR-45,Storebas,CT-24,AllStar,E-commerce,Others,500004,"SCH/12-RevitaLift20Off, SCH/10-Aqua4Essense10Off"
STR-46,Storeag,CT-25,BlueFire,E-commerce,Others,500005,"SCH/12-RevitaLift20Off, SCH/10-Aqua4Essense10Off"
STR-47,Promotions store,CT-9,Saffron,E-commerce,Others,500006,"SCH/12-RevitaLift20Off, SCH/10-Aqua4Essense10Off"
STR-48,Open store,CT-24,AllAround,E-commerce,Others,500007,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
STR-49,Storeform,CT-6,Fireside,E-commerce,Others,500002,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
STR-50,Store Scry,CT-16,OurTown,E-commerce,Others,500003,"SCH/20-Scrub20Off, SCH/12-RevitaLift20Off"
